%wavelength	Mua Oil	Mua water	cpta (mm-1)/(mg/L)	Mua Triton
886	-0.004812403	0.000437491	4.05E-05	-0.006286057
888	-0.004305834	0.000529595	4.33E-05	-0.006078825
890	-0.004083251	0.000644724	4.22E-05	-0.005986721
892	-0.003937421	0.000736827	4.47E-05	-0.005871592
894	-0.003799265	0.001013137	4.42E-05	-0.005318972
896	-0.003799265	0.000990112	3.95E-05	-0.004965909
898	-0.003584357	0.001158968	4.17E-05	-0.00432886
900	-0.003338748	0.001304798	3.89E-05	-0.003691811
902	-0.003016386	0.001396902	4.22E-05	-0.003100815
904	-0.002509818	0.001542732	4.14E-05	-0.002509818
906	-0.001895795	0.001734614	4.00E-05	-0.001957197
908	-0.001135942	0.001895795	4.45E-05	-0.001389226
910	-0.000368414	0.002072327	3.83E-05	-0.000898008
912	0.000307011	0.002256533	3.56E-05	-0.000491218
914	0.000913359	0.002586571	4.06E-05	-0.000291661
916	0.001419927	0.002893582	3.85E-05	-0.000383764
918	0.001972548	0.0033848	3.85E-05	-0.00055262
920	0.002509818	0.00392207	3.44E-05	-0.000798229
922	0.002954984	0.004467015	3.25E-05	-0.000990112
924	0.003300372	0.005234543	3.74E-05	-0.001005462
926	0.003338748	0.006017422	3.37E-05	-0.000974761
928	0.00323897	0.00703056	3.67E-05	-0.000790554
930	0.00271705	0.007936243	3.44E-05	-0.000652399
932	0.001842068	0.00906451	3.44E-05	-0.000529595
934	0.000713801	0.010407685	3.26E-05	-0.00040679
936	-0.000468192	0.011720158	3.39E-05	-0.000391439
938	-0.001711588	0.013155436	2.64E-05	-0.000544945
940	-0.002870556	0.014813297	3.68E-05	-0.000782879
942	-0.003722513	0.016624664	3.42E-05	-0.00107454
944	-0.00447469	0.018673965	3.17E-05	-0.001435278
946	-0.005081038	0.021145406	3.07E-05	-0.001949522
948	-0.005572256	0.023839431	2.88E-05	-0.002471441
950	-0.005925319	0.02693257	3.22E-05	-0.002947309
952	-0.006240006	0.029987333	3.09E-05	-0.003507605
954	-0.006447238	0.03301907	2.87E-05	-0.003899044
956	-0.006585393	0.03544446	2.85E-05	-0.004275133
958	-0.006723548	0.037386307	2.62E-05	-0.004574469
960	-0.006854028	0.038714131	2.73E-05	-0.004712624
962	-0.006923106	0.039727268	2.56E-05	-0.004812403
964	-0.006907755	0.04044107	1.89E-05	-0.004789377
966	-0.006984508	0.040901587	2.15E-05	-0.004781702
968	-0.006992183	0.041223948	2.74E-05	-0.004620521
970	-0.007068936	0.041492583	2.48E-05	-0.004582144
972	-0.007068936	0.041653764	2.53E-05	-0.004451665
974	-0.007038235	0.041799595	2.52E-05	-0.004321185
976	-0.00703056	0.041615388	2.86E-05	-0.004252107
978	-0.007091962	0.041385129	2.29E-05	-0.004236757
980	-0.007038235	0.041101144	2.38E-05	-0.0040679
982	-0.006953807	0.040632952	2.66E-05	-0.003968122
984	-0.006915431	0.040064981	2.67E-05	-0.003876018
986	-0.006854028	0.039443283	2.15E-05	-0.003707162
988	-0.00662377	0.038790884	2.79E-05	-0.003507605
990	-0.006531666	0.037900551	2.64E-05	-0.003407826
992	-0.006324434	0.037079295	2.42E-05	-0.00325432
994	-0.006071149	0.036334793	2.46E-05	-0.003054763
996	-0.005886943	0.035298629	2.63E-05	-0.002985685
998	-0.005625983	0.034377595	2.79E-05	-0.002778453
1000	-0.005457127	0.033310731	2.01E-05	-0.0027017
1002	-0.005173141	0.032251542	0	-0.002594246
1004	-0.004889156	0.03113095	0	-0.002433065
1006	-0.004551443	0.030163865	0	-0.002202806
1008	-0.004221406	0.02908165	0	-0.002041625
1010	-0.003929745	0.027915007	0	-0.001872769
1012	-0.003569007	0.026886519	0	-0.001650186
1014	-0.003231294	0.025742901	0	-0.001458304
1016	-0.003085464	0.02462231	0	-0.001435278
1018	-0.002962659	0.023486368	0	-0.001427603
1020	-0.002732401	0.022434854	0	-0.001373876
1022	-0.002670999	0.021321938	0	-0.00135085
1024	-0.002502142	0.020216697	0	-0.001435278
1026	-0.002387013	0.019234261	0	-0.001450629
1028	-0.002172105	0.018305551	0	-0.001427603
1030	-0.002026275	0.017361492	0	-0.001358525
1032	-0.001849743	0.016471159	0	-0.0013662
1034	-0.001734614	0.015657579	0	-0.001281772
1036	-0.001650186	0.014920751	0	-0.00122037
1038	-0.001650186	0.014068795	0	-0.001135942
1040	-0.001865094	0.013239864	0	-0.001243396
1042	-0.001849743	0.012779347	0	-0.001013137
1044	-0.00203395	0.012157649	0	-0.000982436
1046	-0.002256533	0.011512925	0	-0.001013137
1048	-0.002410039	0.01109846	0	-0.00094406
1050	-0.002763102	0.010453736	0	-0.001105241
1052	-0.002901257	0.010077647	0	-0.001105241
1054	-0.00310849	0.009824363	0	-0.001158968
1056	-0.003315723	0.009509676	0	-0.001097566
1058	-0.003691811	0.009049159	0	-0.001381551
