%wavelength nm	Hb02 mm-1/mM	Hb mm-1/mM	H20 1/mm	fat  (mm-1 ) 	icg (mm-1/mM)	mb (mm-1/mM)
974	0.27617	0.11649	0.048529	0.00074887	0	0
976	0.275	0.1119	0.048549	0.00073944	0	0
978	0.27377	0.1057	0.048569	0.00073861	0	0
980	0.27231	0.099866	0.048205	0.00074986	0	0
982	0.27073	0.094207	0.04784	0.00077001	0	0
984	0.26897	0.089536	0.047304	0.00082366	0	0
986	0.26713	0.085294	0.046702	0.0009036	0	0
988	0.26541	0.081616	0.046001	0.0010205	0	0
990	0.26374	0.078161	0.045176	0.0011684	0	0
992	0.26199	0.074879	0.044345	0.0013415	0	0
994	0.26022	0.07166	0.043489	0.0015369	0	0
996	0.25837	0.068625	0.042632	0.0017444	0	0
998	0.2565	0.065649	0.041663	0.001963	0	0
1000	0.25459	0.062876	0.040679	0.0021817	0	0
